#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.455774
-500.0,500,0.486032
-500.0,500,0.787274
-500.0,500,0.926922
-500.0,500,1.061152
-500.0,500,1.200039
-500.0,500,1.335431
-500.0,500,1.471327
-500.0,500,1.608061
-500.0,500,1.743597
-500.0,500,1.881853
-500.0,500,2.018965
-500.0,500,2.162404
-225.0,226,2.224871
-500.0,500,2.362557
-377.0,378,2.468579
-500.0,500,2.609252
-500.0,500,2.752915
-500.0,500,2.903141
-500.0,500,3.054308
-500.0,500,3.205705
-500.0,500,3.349459
-258.0,259,3.425569
-500.0,500,3.572001
-500.0,500,3.718994
-465.0,466,3.853813
-500.0,500,4.006174
-500.0,500,4.153543
-500.0,500,4.311764
-500.0,500,4.465128
-500.0,500,4.623244
-500.0,500,4.778675
-500.0,500,4.936782
-418.0,419,5.066595
-500.0,500,5.225077
-500.0,500,5.380248
-310.0,311,5.480606
-500.0,500,5.641898
-191.0,192,5.703627
-295.0,296,5.802856
-303.0,304,5.905155
-418.0,419,6.040751
-275.0,276,6.132389
-500.0,500,6.300681
-400.0,401,6.43425
-265.0,266,6.527128
-171.0,172,6.582041
-334.0,335,6.694968
-162.0,163,6.754505
-385.0,386,6.907372
-176.0,177,6.978641
-153.0,154,7.038558
-207.0,208,7.111234
-196.0,197,7.180812
-500.0,500,7.351308
-500.0,500,7.518807
-374.0,375,7.647251
-500.0,500,7.818997
-500.0,500,7.992937
-500.0,500,8.162824
-254.0,255,8.252556
-219.0,220,8.327741
-319.0,320,8.436745
-500.0,500,8.614285
-241.0,242,8.699953
-375.0,376,8.838783
-408.0,409,8.98789
-224.0,225,9.069905
-295.0,296,9.18042
-445.0,446,9.339232
-500.0,500,9.514938
-302.0,303,9.624307
-498.0,499,9.828987
-379.0,380,9.979415
-253.0,254,10.081318
-170.0,171,10.14844
-236.0,237,10.240156
-433.0,434,10.403858
-500.0,500,10.592334
-500.0,500,10.768649
-413.0,414,10.940535
-418.0,419,11.106193
-500.0,500,11.304909
-215.0,216,11.393955
-500.0,500,11.592058
-439.0,440,11.749583
-500.0,500,11.93632
-500.0,500,12.127538
-376.0,377,12.282282
